Species	Assembly	Contigs>0bp	Contigs>1000bp	Contigs>5000bp	Contigs>10000bp	Contigs>25000bp	Contigs>50000bp	Length>0bp	Length>1000bp	Length>5000bp	Length>10000bp	Length>25000bp	Length>50000bp	Contigs	LargestContig	TotalLength	GC	N50	N75	L50	L75	NsPer100kbp
A28	Nextdenovo	141	141	141	141	141	138	245188698	245188698	245188698	245188698	245188698	245077477	141	31379946	245188698	38.00	18550054	4388384	5	12	0.00
A28	40X Phred	113	113	113	113	112	108	223222146	223222146	223222146	223222146	223203895	223054697	113	31993957	223222146	37.81	11992374	3358537	7	16	0.00
A28	40X Length	93	93	93	93	93	92	234668681	234668681	234668681	234668681	234668681	234628701	93	32071849	234668681	37.89	25358444	4230222	4	12	0.00
A28	50X Phred	114	114	114	114	114	111	227565341	227565341	227565341	227565341	227565341	227466462	114	32878873	227565341	37.85	8903984	2923737	7	18	0.00
A28	50X Length	87	87	87	87	87	86	233267965	233267965	233267965	233267965	233267965	233227514	87	35722871	233267965	37.88	18304285	5877317	5	10	0.00
A28	40X Phred + ref	97	97	97	97	97	97	221785713	221785713	221785713	221785713	221785713	221785713	97	31852701	221785713	37.72	12812667	4152345	6	14	0.00
A28	40X Length + ref	84	84	84	84	84	83	234448527	234448527	234448527	234448527	234448527	234400945	84	31801467	234448527	37.89	18251927	5138847	5	12	0.00
O11	Nextdenovo	188	188	188	188	188	188	251478094	251478094	251478094	251478094	251478094	251478094	188	35123609	251478094	37.85	28092762	8673679	4	8	0.00
O11	40X Phred	96	96	96	96	96	96	224185510	224185510	224185510	224185510	224185510	224185510	96	29505846	224185510	37.72	16811753	6636208	5	11	0.00
O11	40X Length	126	126	126	126	126	126	235601215	235601215	235601215	235601215	235601215	235601215	126	29628043	235601215	37.81	13106850	7428192	6	12	0.00
O11	50X Phred	111	111	111	111	110	109	231244016	231244016	231244016	231244016	231219576	231173765	111	33659176	231244016	37.77	18692465	13025763	5	8	0.00
O11	50X Length	128	128	128	128	128	127	239343741	239343741	239343741	239343741	239343741	239310761	128	39187662	239343741	37.80	16562743	6096047	5	11	0.00
O11	40X Phred + ref	107	107	107	107	107	105	225554080	225554080	225554080	225554080	225554080	225476898	107	31708369	225554080	37.65	15921554	7484855	5	9	0.00
O11	40X Length + ref	113	113	113	113	113	110	231875968	231875968	231875968	231875968	231875968	231755942	113	37599843	231875968	37.79	25388691	9331388	4	9	0.00
MS	Nextdenovo	358	358	358	358	358	352	262890039	262890039	262890039	262890039	262890039	262614379	358	31339883	262890039	38.30	8981476	1536938	8	25	0.00
MS	40X Phred	171	171	171	171	168	166	219595240	219595240	219595240	219595240	219540680	219447570	171	22991521	219595240	37.71	8735563	2244292	8	19	0.00
MS	40X Length	258	258	258	258	256	250	235567566	235567566	235567566	235567566	235528287	235302141	258	22259635	235567566	37.82	9255701	3168726	8	18	0.00
MS	50X Phred	219	219	219	219	219	213	225175762	225175762	225175762	225175762	225175762	224916923	219	27548451	225175762	37.82	18638103	2522395	5	18	0.00
MS	50X Length	267	267	267	267	266	259	241264934	241264934	241264934	241264934	241242378	240943541	267	31734060	241264934	37.83	8408636	4007000	8	17	0.00
MS	40X Phred + ref	199	199	199	199	197	195	223520268	223520268	223520268	223520268	223476924	223385463	199	22336858	223520268	37.68	9345289	3248173	8	16	0.00
MS	40X Length + ref	220	220	220	220	220	211	233409937	233409937	233409937	233409937	233409937	233022882	220	31742627	233409937	37.79	17838860	3331383	5	12	0.00
